Timestamp,1 - What is your current situation regarding the CC course?,2- In which year and semester did you enroll in the CC course? Example 2007.1,"3 - In which semester did you end up, quit or are you currently? Example 2010.1",4 - Before joining the course did you already have any experience with the Computing area or did you have information about it?,5 - Before you went to university did you study in what kind of school?,"6 - If you studied in a public school, what type of institution?",7 - Before entering the university in which city / state did you live? Example Mombasa / CE,8 - Upon entering the university did you move to Mossoró / RN?,9 - Did you live in the academic village?,10 - What is the monthly income of your family when you enter university?,11 - Which race do you consider yourself to belong to?,12 - Did you get any scholarships during the period you were in the course?,"13 - In relation to your academic achievement, until the second semester of the course did you go?",14 - Do you consider that during the period that was in the course had the proper accompaniment of the university? Example: PROAE or Coordination of the course.,15 - Do you consider that the curriculum of the CC course is adequate to what is required in the job market?,"16 - In relation to the chain of prerequisites of the course subjects, do you consider appropriate?","17 - In relation to the criteria for assessing student performance, do you consider appropriate?","18 - Regarding the infrastructure of the institution such as laboratories, libraries, computer equipment ... do you consider appropriate?","19 - Regarding teachers, do you consider that they have pedagogical deficiencies, lack of interest or other problems?",20 - Do you consider that the careers related to the CC course are socially recognized?,"21 - In relation to the market, do you consider that the professional trained in CC is properly paid?","22 - In relation to the country, during the period that you were in the course, were they married?","23 - Regarding your mother, what is her level of education?","24 - Regarding your father, what is his level of education?","25 - If you have dropped out of the course, what is the main reason you gave up?",26 - Do you want to make any consideration / suggestion regarding the course or any point that you deem important?
2019/03/23 10:55:52 AM GMT-3,conclusive,2006.2,2011.1,No,Private,None of the options,Russas/CE,Yes,No,Between 1001 and 1500 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Complete high school,Incomplete elementary school,nan,nan
2019/03/23 10:56:37 AM GMT-3,conclusive,2006.2,2010.2,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Yellow,Yes,Approved in all subjects,No,No,Yes,Yes,Yes,Yes,No,No,No,Higher Education Complete,Complete high school,nan,nan
2019/03/23 11:13:56 AM GMT-3,conclusive,2009.1,2014.2,No,Public,nan,Limoeiro do Norte/CE,Yes,No,Between 2001 and 2500 reais,White,Yes,Approved in all subjects,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Higher Education Complete,Higher Education Complete,nan,"The course was aimed only at the academic milieu, not preparing for the job market"
2019/03/23 11:20:33 AM GMT-3,Desist,2014.1,2-14.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Yellow,No,Disapproved in a discipline,Yes,No,No,Yes,Yes,Yes,No,No,No,Complete high school,Higher Education Complete,It was not my area.,nan
2019/03/23 11:47:23 AM GMT-3,conclusive,2010.1,2016.2,Yes,Public,State,Mossoró/RN,No,No,Between 2001 and 2500 reais,White,Yes,Disapproved in a discipline,No,No,No,No,Yes,Yes,Yes,No,My mother widowed,Incomplete primary education,Incomplete elementary school,nan,nan
2019/03/23 12:37:16 PM GMT-3,Desist,2009.2,2014.1,Yes,Public,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,Black,No,Disapproved in two disciplines,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Complete Postgraduate Diploma,Complete primary education,Discipline of discrete mathematics and due to teachers of the disciplines of calculations and GA,"I am fully aware that exact disciplines should be literally known, but some beginner teachers, make the student who has not yet fully identified with large calculations, give up on the low grade they take at first, suggest the identification of these students, which are many, and have a meeting with the same for the purpose of helping you! Today I am also a teacher and I have priority to say so, when the student is encouraged by the teacher, he gives himself more to what he is doing."
2019/03/23 1:29:21 PM GMT-3,Desist,2013,2014.1,Yes,I had stopped studying for decades,I did half of my study in public and high school in a private supplement.,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2501 and 3000 reais,Brown,No,Disapproved in three disciplines,No,No,Yes,No,Yes,Yes,No,No,No,Higher Education Complete,Incomplete high school,Labor market in the region does not value and without speaking that the course is only interested in way researchers,More focus on the market.
2019/03/23 1:41:12 PM GMT-3,conclusive,2013.2,2018.1,No,Public,Federal Institute,Assu/RN,No,No,Between 501 and 1000 reais,White,Yes,Approved in all subjects,Yes,No,Yes,Yes,Yes,No,No,No,No,Incomplete elementary school,Incomplete elementary school,nan,"19- On the teachers I answered based on the quantity, for the most part, the teachers have theoretical and practical qualities. 16- On the curriculum I have always found the methodological approach to construct academic papers in CC to be deficient. The discipline of scientific methodology must be directed to CC. 15- The student acquires a base of all knowledge in computing. To be prepared for the job market will depend only on the student. These difficulties could be addressed by other measures (meetings, lectures, groups, extension, internship, partnerships) but not in the curriculum."
2019/03/23 1:50:19 PM GMT-3,conclusive,2008.2,2013.2,Yes,Public,None of the options,Limoeiro do Norte/CE,No,No,Between 1501 and 2000 reais,Brown,No,Disapproved in two disciplines,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Incomplete elementary school,Incomplete elementary school,nan,nan
2019/03/23 2:12:01 PM GMT-3,conclusive,2011.2,2016.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Approved in all subjects,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Complete Postgraduate Diploma,Complete Postgraduate Diploma,nan,"Ufersa course, is totally defesado. Teachers without market experience. They only train students for the academic cycle."
2019/03/23 2:15:03 PM GMT-3,Egress,2007.2,2011.2,Yes,Private,nan,Limoeiro do Norte/CE,Yes,No,More than 3000 reais,White,Yes,Approved in all subjects,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Complete Postgraduate Diploma,Complete high school,nan,nan
2019/03/23 2:43:44 PM GMT-3,conclusive,2007.2,2013.1,No,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Brown,No,Approved in all subjects,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Complete Postgraduate Diploma,Higher Education Complete,nan,nan
2019/03/23 2:57:31 PM GMT-3,conclusive,2009.2,2016.2,Yes,Public,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,Black,No,Disapproved in four subjects,No,No,No,Yes,No,Yes,No,No,No,Incomplete high school,Incomplete elementary school,nan,nan
2019/03/23 2:57:44 PM GMT-3,Desist,2017.1,2017.1,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,Brown,No,Disapproved in more than five disciplines,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Incomplete elementary school,Complete high school,Inadequate grade and most teachers with disinterest,nan
2019/03/23 3:11:18 PM GMT-3,conclusive,2011.2,Concludes,No,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,Brown,No,Approved in all subjects,Yes,Yes,Yes,No,No,Yes,No,No,No,Higher Education Complete,Complete primary education,nan,"I think it's important that you ask better-crafted questions. Sometimes I have no choice and I have to respond anyway. Good luck in master's degree. I hope it helped you. Valter Costa, professor IFCE Aracati ... send a hug to the teachers there."
2019/03/23 3:29:52 PM GMT-3,Desist,2009.2,2012.1,Yes,Public,None of the options,Limoeiro do Norte/CE,Yes,No,More than 3000 reais,White,No,Disapproved in three disciplines,No,No,No,No,Yes,No,No,No,No,Complete high school,Incomplete elementary school,"In the middle of the course my parents separated and I had to work to help at home, I went back to live in Limoeiro and I went every day, it was very tiring and I could not study enough.","First semester should be calmer, very heavy calculation disciplines and difficult to understand content."
2019/03/23 5:17:53 PM GMT-3,Desist,2012.1,2012.2,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Disapproved in a discipline,No,No,No,No,Yes,Yes,No,No,Yes,Higher Education Complete,Higher Education Complete,Scaffolding,nan
2019/03/23 10:38:23 PM GMT-3,conclusive,2009.1,2013.2,Yes,Private,nan,Itaiçaba/CE,Yes,No,Between 2001 and 2500 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Incomplete elementary school,Incomplete elementary school,nan,nan
2019/03/24 7:10:08 AM GMT-3,conclusive,2010.2,2016.1,Yes,Public,School State José Calazans Freire,Upanema/RN,No,No,Between 1001 and 1500 reais,Brown,Yes,Approved in all subjects,No,No,No,No,Yes,No,No,No,Yes,Higher Education Complete,Complete primary education,nan,nan
2019/03/24 8:10:24 AM GMT-3,Desist,2011.1,2010.1,No,Public,None of the options,Mossoró/RN,No,No,More than 3000 reais,White,No,Disapproved in more than five disciplines,No,No,No,No,No,Yes,No,No,Yes,Complete primary education,Incomplete elementary school,Job e impossibilidade de acompanhar o ritmo das matérias ,nan
2019/03/24 9:13:43 AM GMT-3,conclusive,2009.1,2014.1,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2001 and 2500 reais,Brown,Yes,Approved in all subjects,No,Yes,Yes,No,Yes,No,No,No,Yes,Complete high school,Complete Postgraduate Diploma,nan,nan
2019/03/24 9:49:41 AM GMT-3,conclusive,2009.1,2017.1,No,Private,None of the options,Limoeiro do Norte/CE,Yes,No,Between 1501 and 2000 reais,White,Yes,Disapproved in three disciplines,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Complete high school,Complete high school,nan,nan
2019/03/24 12:11:57 PM GMT-3,conclusive,2011.1,2016.2,No,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Brown,Yes,Disapproved in a discipline,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Higher Education Complete,Complete high school,nan,nan
2019/03/24 9:31:38 PM GMT-3,conclusive,2006.2,2011.1,Yes,Public,State,Caraubas/RN,No,No,Between 2001 and 2500 reais,White,No,Approved in all subjects,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Complete high school,Incomplete elementary school,nan,nan
2019/03/25 7:40:14 AM GMT-3,conclusive,2009.2,2015.2,Yes,Public,None of the options,Mossoró/RN,No,No,More than 3000 reais,I prefer not to report,No,Disapproved in a discipline,Yes,No,No,Yes,No,No,No,No,Father deceased.,Incomplete higher education,Complete high school,nan,nan
2019/03/25 8:00:39 AM GMT-3,conclusive,2007.1,2012.1,No,Private,None of the options,Mossoró/RN,No,No,Between 1001 and 1500 reais,White,No,Disapproved in a discipline,No,No,No,No,Yes,Yes,Yes,No,Yes,Incomplete higher education,Complete Postgraduate Diploma,nan,nan
2019/03/25 8:33:18 AM GMT-3,conclusive,2008.1,2014.1,No,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,I prefer not to report,No,Disapproved in a discipline,Yes,No,No,No,Yes,No,No,No,No,Incomplete elementary school,Incomplete elementary school,nan,nan
2019/03/25 8:44:36 AM GMT-3,Desist,2006.2,2008.2,"Yes, but very few.",Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1001 and 1500 reais,Brown,No,Approved in all subjects,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Incomplete elementary school,Complete high school,"I did not adapt to the activity of programming, lack of market expectation in the region",to dry a little more the physics and calculus materials and to diversify the disciplines of the area
2019/03/25 8:51:46 AM GMT-3,Still going,2007.1,The semester 2018.2 is locked,Yes,Public,School State aqui no RN,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,Brown,No,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Incomplete elementary school,Incomplete elementary school,nan,nan
2019/03/25 8:54:13 AM GMT-3,Egress,2012.1,2017.1,No,Private,None of the options,Aracati/CE,No,No,More than 3000 reais,White,Yes,Disapproved in a discipline,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Higher Education Complete,Complete high school,nan,nan
2019/03/25 10:37:04 AM GMT-3,conclusive,2006.2,2010.2,No,Private,None of the options,Caraúbas/RN,Yes,No,More than 3000 reais,Brown,Yes,Approved in all subjects,No,Yes,Yes,Yes,Yes,Yes,Yes,No,stable union,Higher Education Complete,Complete primary education,nan,nan
2019/03/25 10:41:43 AM GMT-3,conclusive,2007.1,2012.1,Yes,Public,Federal Institute,Apodi/RN,Yes,No,Between 2001 and 2500 reais,Brown,Yes,Approved in all subjects,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Complete high school,Complete high school,nan,"Although I have completed, done masters and today working in the field, I think the course is a little bit in preparation for the practice of development. Much of what I use today had to get ""out of the way"" of the course."
2019/03/25 12:43:50 PM GMT-3,Desist,2009.2,2010.1,Yes,Public,None of the options,Assu/RN,No,No,Between 1001 and 1500 reais,White,No,Disapproved in four subjects,No,Yes,Yes,No,Yes,No,No,No,Yes,Complete primary education,Incomplete elementary school,My difficulty in learning the disciplines of calculations,"I think the disinformation inside the institution with the students is still very high. I believe that as each student has a different reality, at the first moment that a student has very low marks (which was my case), this student should have a follow-up to know what the situation is and if the university could help in some way. As I lived in Assu and would go every day to classes, adding to the difficulty I had and still have with disciplines of calculations, it was very difficult to be able to follow the course due to the displacements as well, I learned that I could live in the academic village during the course and in the second semester I tried to know what I could do to get a vacancy, I informed myself and separated all the necessary documentation and when I arrived in the responsible sector, I was informed that I could not live in life because my IRA was very low . That is, the hope that I had to improve my IRA would be to reside in the institution to facilitate access to studies, but I could not live because my IRA was too low to get a place in the village."
2019/03/25 1:07:39 PM GMT-3,conclusive,2019.1,2014.1,No,Private,None of the options,Apodi/RN,Yes,No,Between 2001 and 2500 reais,Brown,Yes,Approved in all subjects,No,No,Yes,Yes,Yes,No,No,No,Yes,Complete primary education,Higher Education Complete,nan,nan
2019/03/25 3:09:00 PM GMT-3,conclusive,2006.2,2010.2,No,Public,Public State,José da Penha,Yes,Yes,Between 501 and 1000 reais,White,Yes,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Complete high school,Complete primary education,nan,nan
2019/03/25 3:16:10 PM GMT-3,conclusive,2007.2,2014.1,Yes,Fundamental in Public / Middle in Private,State,Natal/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,Yes,Disapproved in two disciplines,No,Yes,Yes,No,Yes,No,No,No,Yes,Higher Education Complete,Complete high school,nan,nan
2019/03/25 3:53:38 PM GMT-3,Desist,2012.1,2012.1,No,Private,None of the options,Itapipoca/CE,Yes,No,Between 1501 and 2000 reais,White,No,Disapproved in more than five disciplines,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Complete high school,Incomplete elementary school,Lack of identification,nan
2019/03/25 4:43:13 PM GMT-3,Desist,I think 2010,2010.1,Yes,Public,public school,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2001 and 2500 reais,White,No,Disapproved in more than five disciplines,No,No,No,Yes,Yes,Yes,No,Yes,No,Complete primary education,Not applicable,"Fresh out of another graduation, and with family demanding attention.",nan
2019/03/26 8:19:12 AM GMT-3,conclusive,2009.2,2016.1,Yes,Private,None of the options,Mossoró/RN,No,No,Between 1501 and 2000 reais,White,Yes,Disapproved in four subjects,No,No,No,Yes,Yes,No,No,No,Yes,Complete Postgraduate Diploma,Incomplete high school,nan,nan
2019/03/26 9:14:18 AM GMT-3,Desist,2013.1,2018.1,Yes,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,Between 2501 and 3000 reais,White,No,Disapproved in three disciplines,Yes,No,No,No,Yes,Yes,No,No,Yes,Complete high school,Higher Education Complete,I discovered that it was not the course I wanted,nan
2019/03/26 9:36:24 AM GMT-3,Desist,2017.1,2018.1,Yes,Private,nan,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Disapproved in a discipline,No,No,No,Yes,Yes,No,No,No,Yes,Higher Education Complete,Complete primary education,"At the time the grid involved many calculus materials that disgusted me greatly. I only failed in Classical Mechanics, but it was enough for me to give up the course because I could no longer study calculations that I considered unnecessary for my training in the course.","I knew they changed the grid time after I left, so I guess it's a lot better now."
2019/03/26 9:43:01 AM GMT-3,Desist,2014.1,2015.2,No,Public,Federal Institute,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,Brown,No,Disapproved in a discipline,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Complete primary education,Incomplete elementary school,"By working out of Mossoró, he could not get to the time of attending the first classes, therefore he did not follow the content with faults and low grades.",Not
2019/03/26 11:33:54 AM GMT-3,Desist,2014.2,2017.1,Yes,Public,School State,Mossoró/RN,I already lived in Mossoró / RN,No,Between 1501 and 2000 reais,Brown,No,Disapproved in two disciplines,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Incomplete elementary school,Incomplete elementary school,Lack of motivation.,"The university needs to improve the teaching method, and teachers need to be more attentive to students, especially those with low incomes."
2019/03/26 12:02:59 PM GMT-3,conclusive,2008.1,2012.2,No,Private,nan,Doutor Severiano/RN,Yes,No,Between 1001 and 1500 reais,White,Yes,Approved in all subjects,No,No,Yes,Yes,Yes,No,No,No,Yes,Higher Education Complete,Complete primary education,nan,nan
2019/03/26 12:09:07 PM GMT-3,Desist,2013.1,2014.2,Yes,Public,EEEP mid-level / technical,Russas/CE,Yes,No,Between 1501 and 2000 reais,White,Yes,Disapproved in two disciplines,No,No,Yes,No,Yes,Yes,No,Yes,No,Incomplete elementary school,Incomplete elementary school,It was not the course I had hoped for. Currently I am in the 7th period of production engineering,Not 
2019/03/26 12:21:55 PM GMT-3,Desist,2014.2,2015.2,Yes,Public,Federal Institute,Assunto/RN,No,No,Between 1001 and 1500 reais,White,No,Disapproved in a discipline,No,No,No,Yes,Yes,Yes,No,No,No,Incomplete elementary school,Incomplete higher education,Distance from school,nan
2019/03/26 1:17:50 PM GMT-3,Desist,2014.1,2015.1,Yes,I finished engineering in 1977.univ public,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,I prefer not to report,No,Approved in all subjects,No,Yes,Yes,Yes,Yes,No,Yes,No,deceased me father,Complete high school,Higher Education Complete,time to attend class and study trips every weekend to Fortaleza and work from 6:30 to 18 with the displacements,"The coordinator was unbearable. He once said that the women of Mossoró were uneducated because they yawned without putting their hands to their mouths. Another complaint from him was about the delays of the students, but in the first three classes he arrived late twice !!!
I wasted a lot of time complaining!"
2019/03/27 6:57:25 PM GMT-3,conclusive,2009.2,2016.1,No,private with bag,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,Between 501 and 1000 reais,Brown,Yes,Disapproved in two disciplines,No,No,No,No,Yes,No,No,No,No,Complete high school,Complete high school,nan,nan
2019/03/27 8:27:24 PM GMT-3,conclusive,2009/2,2017/2,Yes,Private,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,Brown,No,Disapproved in two disciplines,Yes,No,No,No,Yes,No,No,No,Yes,Complete high school,Higher Education Complete,nan,"Update the curriculum, taking various calculations and targeting the market, as several disciplines are expendable for what the market demands."
2019/03/27 9:01:39 PM GMT-3,Desist,2013.1,2015.1,Yes,Private,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Disapproved in a discipline,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Higher Education Complete,Complete high school,I work and I consider that Ufersa's course is very intense for those who already have an 8-hour journey. I could not get into the rhythm of study. The teachers are excellent and the level is adequate. I do not consider my abandonment to be fault of the infrastructure or support of the University.,Course specific monitoring.
2019/03/27 11:54:56 PM GMT-3,Desist,2013.2,2015.2,Yes,Private,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Disapproved in more than five disciplines,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Complete high school,Higher Education Complete,no identification with course,"First congratulations Leonardo Torres for his initiative, my stay in the course of CC lasted 2 years, I realized the difficulty in learning with some teachers, and another by the way very good that there was nothing to complain about, I believe the evasion rate can be looked at too by the bias of not being a course so well-known in the social environment, which always generates doubts, and at the same time fascinated among others, however, I entered with a very ""basic"" but very introductory that soon was broken with the programming, I realized the very alone course, at least in my time, works were done individually which also made it difficult for a more socialization among students in favor of a work, but I know that this is a characteristic of CC, I realized very much this absence of interaction in works precisely because it is very individual. Maybe this could be a demand just mine, and not necessarily the course, CC teachers themselves give support to the students and some are practically '' parents '' in the institution this leaves the student closer and makes you have a support while a student. Finally, I wish good luck with CBT that can be successful and complete in the best way possible. Currently I am studying the 7th period of psychology (radical change) but today I am in the course. Perhaps one of the demands is to show the students the different areas of activity that the professional can act, besides lectures and ways to inform students where they are, in fact I felt very lost when I was there, but it is a much more demand for at the time I was very young and did not identify myself with the course, but having lectures, and information always about areas and related, besides the professional performance is one of the differentials, that would make the students decide earlier or not in relation to Computing . Strong hug!
Attribution"
2019/03/28 9:47:23 AM GMT-3,Desist,2016.1,2016.1,Yes,Public,None of the options,Mossoró/RN,I already lived in Mossoró / RN,No,More than 3000 reais,White,No,Approved in all subjects,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Higher Education Complete,Incomplete high school,"lack of time, work and family",nan
2019/03/28 12:33:52 PM GMT-3,Desist,2016,2016.2,Yes,Public,Federal Institute,Severiano Melo /RN,No,No,Between 501 and 1000 reais,Black,No,Disapproved in a discipline,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Complete high school,Incomplete elementary school,nan,nan
2019/03/28 9:52:57 PM GMT-3,Desist,2016.1,2016.1,No,Public,Federal Institute,Areia Branca/RN,No,No,Between 501 and 1000 reais,White,No,Approved in all subjects,No,Yes,Yes,No,No,No,Yes,No,Deceased,Incomplete high school,Incomplete elementary school,Job,nan
2019/03/29 6:57:28 PM GMT-3,Desist,2018.1,2018.1,Yes,Public,None of the options,Mossoró/RN,No,No,Between 1501 and 2000 reais,Brown,No,Disapproved in more than five disciplines,No,No,No,No,Yes,No,Yes,No,No,Complete high school,Incomplete elementary school,I had to move.,nan
2019/03/29 10:42:56 PM GMT-3,Desist,2012.1,2013.2,Yes,Public,None of the options,Baraúna/RN,Yes,No,Between 501 and 1000 reais,White,No,Disapproved in more than five disciplines,No,No,No,Yes,Yes,Yes,No,No,No contact with parents,Incomplete high school,Without contact with the father,Financial,nan
2019/04/01 10:06:03 AM GMT-3,Desist,2015,2015,Yes,Public,Public,Russas/CE,I already lived in Mossoró / RN,No,Between 2501 and 3000 reais,Brown,No,Disapproved in four subjects,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Complete high school,Incomplete elementary school,"I was not able to follow the course more due to many disappointments after spending time away from classes due to an accident, this ended up bewildering me and losing a whole semester practically and therefore discouraging me to continue.",A greater accompaniment to the students who have difficulties or some problem to follow the course.
